Step: 0 | Raw Train NCLL: 344.0917 | Raw Valid NCLL: 1612.9363 | Seq Train NCLL: 43.0115 | Seq Valid NCLL: 201.6170
Step: 25 | Raw Train NCLL: 137.8918 | Raw Valid NCLL: 145.9070 | Seq Train NCLL: 17.2365 | Seq Valid NCLL: 18.2384
Step: 50 | Raw Train NCLL: 71.1413 | Raw Valid NCLL: 54.9582 | Seq Train NCLL: 8.8927 | Seq Valid NCLL: 6.8698
Step: 75 | Raw Train NCLL: 43.6318 | Raw Valid NCLL: 47.5778 | Seq Train NCLL: 5.4540 | Seq Valid NCLL: 5.9472
Step: 100 | Raw Train NCLL: 31.0542 | Raw Valid NCLL: 22.1977 | Seq Train NCLL: 3.8818 | Seq Valid NCLL: 2.7747
Step: 125 | Raw Train NCLL: 33.3563 | Raw Valid NCLL: 30.5227 | Seq Train NCLL: 4.1695 | Seq Valid NCLL: 3.8153
Step: 150 | Raw Train NCLL: 10.1677 | Raw Valid NCLL: 19.8777 | Seq Train NCLL: 1.2710 | Seq Valid NCLL: 2.4847
Step: 175 | Raw Train NCLL: 18.7197 | Raw Valid NCLL: 25.6189 | Seq Train NCLL: 2.3400 | Seq Valid NCLL: 3.2024
Step: 200 | Raw Train NCLL: 14.6309 | Raw Valid NCLL: 18.6626 | Seq Train NCLL: 1.8289 | Seq Valid NCLL: 2.3328
Step: 225 | Raw Train NCLL: 27.7476 | Raw Valid NCLL: 29.1641 | Seq Train NCLL: 3.4685 | Seq Valid NCLL: 3.6455
Step: 250 | Raw Train NCLL: 30.8263 | Raw Valid NCLL: 41.7068 | Seq Train NCLL: 3.8533 | Seq Valid NCLL: 5.2133
Step: 275 | Raw Train NCLL: 24.8420 | Raw Valid NCLL: 12.9884 | Seq Train NCLL: 3.1053 | Seq Valid NCLL: 1.6236
Step: 300 | Raw Train NCLL: 19.6768 | Raw Valid NCLL: 13.7748 | Seq Train NCLL: 2.4596 | Seq Valid NCLL: 1.7219
Step: 325 | Raw Train NCLL: 25.6448 | Raw Valid NCLL: 19.7748 | Seq Train NCLL: 3.2056 | Seq Valid NCLL: 2.4719
Step: 350 | Raw Train NCLL: 20.0594 | Raw Valid NCLL: 12.3427 | Seq Train NCLL: 2.5074 | Seq Valid NCLL: 1.5428
Step: 375 | Raw Train NCLL: 15.4068 | Raw Valid NCLL: 6.3754 | Seq Train NCLL: 1.9258 | Seq Valid NCLL: 0.7969
Step: 400 | Raw Train NCLL: 30.2591 | Raw Valid NCLL: 13.2984 | Seq Train NCLL: 3.7824 | Seq Valid NCLL: 1.6623
Step: 425 | Raw Train NCLL: 33.9498 | Raw Valid NCLL: 10.4436 | Seq Train NCLL: 4.2437 | Seq Valid NCLL: 1.3054
Step: 450 | Raw Train NCLL: 16.2020 | Raw Valid NCLL: 18.2636 | Seq Train NCLL: 2.0252 | Seq Valid NCLL: 2.2830
Step: 475 | Raw Train NCLL: 20.7709 | Raw Valid NCLL: 23.5236 | Seq Train NCLL: 2.5964 | Seq Valid NCLL: 2.9405
Step: 500 | Raw Train NCLL: 17.0820 | Raw Valid NCLL: 5.2541 | Seq Train NCLL: 2.1352 | Seq Valid NCLL: 0.6568
Step: 525 | Raw Train NCLL: 17.0499 | Raw Valid NCLL: 35.7095 | Seq Train NCLL: 2.1312 | Seq Valid NCLL: 4.4637
Step: 550 | Raw Train NCLL: 14.3998 | Raw Valid NCLL: 22.3140 | Seq Train NCLL: 1.8000 | Seq Valid NCLL: 2.7893
Step: 575 | Raw Train NCLL: 14.1515 | Raw Valid NCLL: 10.7268 | Seq Train NCLL: 1.7689 | Seq Valid NCLL: 1.3408
Step: 600 | Raw Train NCLL: 28.5394 | Raw Valid NCLL: 34.1198 | Seq Train NCLL: 3.5674 | Seq Valid NCLL: 4.2650
Step: 625 | Raw Train NCLL: 18.8789 | Raw Valid NCLL: 25.0682 | Seq Train NCLL: 2.3599 | Seq Valid NCLL: 3.1335
Step: 650 | Raw Train NCLL: 17.4573 | Raw Valid NCLL: 9.8246 | Seq Train NCLL: 2.1822 | Seq Valid NCLL: 1.2281
Step: 675 | Raw Train NCLL: 12.7611 | Raw Valid NCLL: 32.6272 | Seq Train NCLL: 1.5951 | Seq Valid NCLL: 4.0784
Step: 700 | Raw Train NCLL: 23.4198 | Raw Valid NCLL: 33.5116 | Seq Train NCLL: 2.9275 | Seq Valid NCLL: 4.1890
Step: 725 | Raw Train NCLL: 20.3978 | Raw Valid NCLL: 22.9451 | Seq Train NCLL: 2.5497 | Seq Valid NCLL: 2.8681
Step: 750 | Raw Train NCLL: 15.6288 | Raw Valid NCLL: 19.3681 | Seq Train NCLL: 1.9536 | Seq Valid NCLL: 2.4210
Step: 775 | Raw Train NCLL: 35.5715 | Raw Valid NCLL: 17.8285 | Seq Train NCLL: 4.4464 | Seq Valid NCLL: 2.2286
Step: 800 | Raw Train NCLL: 13.7106 | Raw Valid NCLL: 19.2733 | Seq Train NCLL: 1.7138 | Seq Valid NCLL: 2.4092
Step: 825 | Raw Train NCLL: 21.6612 | Raw Valid NCLL: 38.7075 | Seq Train NCLL: 2.7077 | Seq Valid NCLL: 4.8384
Step: 850 | Raw Train NCLL: 27.2026 | Raw Valid NCLL: 21.8126 | Seq Train NCLL: 3.4003 | Seq Valid NCLL: 2.7266
Step: 875 | Raw Train NCLL: 26.0674 | Raw Valid NCLL: 27.5045 | Seq Train NCLL: 3.2584 | Seq Valid NCLL: 3.4381
Step: 900 | Raw Train NCLL: 46.8064 | Raw Valid NCLL: 35.8265 | Seq Train NCLL: 5.8508 | Seq Valid NCLL: 4.4783
Step: 925 | Raw Train NCLL: 16.8610 | Raw Valid NCLL: 24.5424 | Seq Train NCLL: 2.1076 | Seq Valid NCLL: 3.0678
Step: 950 | Raw Train NCLL: 31.1789 | Raw Valid NCLL: 10.6856 | Seq Train NCLL: 3.8974 | Seq Valid NCLL: 1.3357
Step: 975 | Raw Train NCLL: 18.4251 | Raw Valid NCLL: 16.5338 | Seq Train NCLL: 2.3031 | Seq Valid NCLL: 2.0667
Step: 1000 | Raw Train NCLL: 33.9870 | Raw Valid NCLL: 22.3455 | Seq Train NCLL: 4.2484 | Seq Valid NCLL: 2.7932
